line1_id,line2_id,char1_id,movie_id,char1_name,line1_text,char2_id,char2_name,line2_text,movie_title,movie_year,imdb_rating,imdb_votes,genres,persona_cluster
L236610,L236611,u1097,m72,JOE,"Perhaps the ""Jam-in-ator"" appeals to you.  Absolutely no practice necessary.  You shread like a giant. Just press a button.",u1094,ENID,That's okay...,,,,,,0
L459867,L459868,u7220,m487,BUDDY,It's pitiful. Neither one of them know.,u7223,DOLL,I think Daddy suspects.,,,,,,2
L129389,L129390,u4467,m295,VITELLI,What?  Say again...,u4467,VITELLI,...Mason.  I can barely hear you.,,,,,,1
L521394,L521395,u7712,m522,JERRY,You - you -,u7713,JOE,This happens to me all the time in public.,,,,,,0
L278326,L278327,u5821,m386,BERNIE,"""Harassed.""  Cause I yelled at him when he's riding in his limo?  The guy's a thief, he took my...",u5829,GALE,"He had one <u>tiny</u>, uncharacteristic moment of weakness.  That's not the same thing as a lifetime of petty crime...",,,,,,2
L431115,L431116,u6958,m465,JIMMY,"I was gonna feed 'em, Terry.",u6967,TERRY,"'s all right, kid. I took care of 'em myself this morning.",,,,,,2
L262948,L262949,u5746,m380,HANNAH,"I'm not!  I'm not!  I'm trying to be helpful.  A person doesn't just say one day, ""Okay, now-now I'm finished as an actress.  Now I'm a writer.""  I mean--",u5747,HOLLY,"Yeah, you mean not at my age.",,,,,,0
L267083,L267084,u5785,m382,WICHITA,"Stop!  Stop it, this afternoon was not what you thought...I overheard you and Pixel, at the side of the mess hall, your idea about the ""test""...Do you believe me?",u5783,WENDY,"Iunno.  Of course I believe you. It's so you...I didn't think it was possible                        ] for you to make me feel worse,                              ] but...you're saying you <u>deliberately</u>                        ] destroyed us!  I don't even get I'm-                        ] sorry-it-was-the-heat-of-the-                               ] moment...                                                   ] ] WICHITA                                            ] I know, I'm...I'm evil.                                     ] ] WENDY                                              ] Oh that's right, baby, you're so                            ] ""evil."" You're, you're so ""dark""...                         ] ] WICHITA                                            ] We should get back.                                         ] ] WENDY                                              ] You're not evil or dark...you're                            ] just scared.                                                ]",,,,,,2
L60269,L60270,u422,m25,SWAYZAK,"No need to be modest, Brian.",u412,BRIAN,"No, you don't understand, I saved a mannequin.",,,,,,0
L218292,L218293,u5317,m353,BOBBY,You can sing the song.,u5323,RAYETTE,"You know what, you are never satisfied.",,,,,,0
L440871,L440872,u7042,m471,JOE,"The guy sat in my office! You can't get AIDS that way, right?",u7040,DR. ARMBRUSTER,Right.,,,,,,2
L462798,L462799,u2592,m168,PLATO,You sure?,u2585,JIM,Sure I'm sure.  Judy's waiting. You ready to come out now?,,,,,,1
L426900,L426901,u2415,m154,ZACK,"You want me to fuck you? Is that it? Okay, come here. Take your clothes off. Get into bed.",u2412,PAULA,Where's that coming from? I wouldn't fuck now if my life depended on it!,,,,,,0
L150031,L150032,u4711,m312,MRS. CALDWELL,I can't thank you enough.,u4710,KATHRYN,You will be discreet about this?,,,,,,0
L455202,L455203,u2511,m163,BARRY,"Well, it's fine. Thank you.",u2521,LENA,Did you pick it up from the street?,,,,,,0
L204833,L204834,u5224,m346,GRANT,Before or after what he wanted to tell you?,u5221,CARTER,Before he could breathe a word. He's the only scientist who knows the answer to what we're after. That's why we have to operate --,,,,,,2
L471062,L471063,u7295,m492,VALIANT,"Are you always this funny, or only on days when you're wanted for murder?",u7294,ROGER RABBIT,"My philosophy is if you don't have a sense of humor, you're better off dead.",,,,,,0
L2583,L2584,u33,m2,IMMIGRATION OFFICER,Then answer my questions.  Where were you planning to stay during the two weeks that you're here?,u42,OLEG,New York.,,,,,,0
L448898,L448899,u7111,m476,JAMES,But I'm not an interviewer or a correspondent.,u7107,CARMEN,"That doesn't matter.  As long as we can get our message through to someone there.  Jill, where are those handouts?",,,,,,0
L586138,L586139,u8245,m560,HATE COUNSELOR,You can't say that....,u8240,DANNY,"The Nazi's killing his kid. He could've jumped the guy. He could've gouged his eyes out, grabbed the bayonet and gutted him.... What would you have done if they were killing your son?",,,,,,2
L154466,L154467,u753,m48,MAX,I didn't make it this far by attracting a lot of attention.,u751,LOGAN,"She's put her life on the line, and her faith in me.",,,,,,0
L451566,L451567,u7149,m480,MAN IN BLACK,You're that smart?,u7155,VIZZINI,"Let me put it this way: have you ever heard of Plato, Aristotle, Socrates?",,,,,,0
L478790,L478791,u7337,m496,CARTER,"We made it, man.",u7343,LEE,No problem.,,,,,,2
L557345,L557346,u7991,m541,MISS HENDERSON,"It's modern. It's up-to-date. It's state-of-the art.  People, I am in love with this machine.  Go ahead, Mr. White.",u7992,PERRY,Where's the handle?,,,,,,2
L391369,L391370,u6654,m444,PERRY,Yes.,u6660,ROSE,Don't shit where you eat.,,,,,,1
L30697,L30698,u247,m16,CONSTANZE,There's a young girl to see you.,u255,MOZART,What does she want?,,,,,,0
L112406,L112407,u4263,m284,MARY,I think this place stinks.,u4258,FRANK,Our Lady of Misery.,,,,,,0
L324777,L324778,u6112,m405,JAKE,I just want to make an honest woman of you....,u6113,LOUISA,I'm not going to marry you until you straighten out your life and your hair.,,,,,,0
L173927,L173928,u4929,m328,PAUL,Cinnamon... the spice!  Do you smell it?,u4925,JESSICA,Yes...,,,,,,2
L250059,L250060,u5606,m373,CHUCKIE,"I'm glad you came by, changed my opinion of Harvard people.",u5616,SKYLAR,See ya' Chuckie. I had fun.,,,,,,0
L572838,L572839,u8114,m550,NICHOLAS,Yes.,u8105,COUNSELOR,"And, they didn't take that watch?",,,,,,1
L289299,L289300,u5909,m390,PAUL,"General, sir. I am glad to find you. I have found you some supplies.",u5901,GENERAL BIZIMUNGU,Whiskey?,,,,,,0
L640354,L640355,u8773,m595,LIZ,The wedding cake check?,u8771,FISHER,Sent it.,,,,,,2
L43759,L43760,u3706,m244,JERRY,Not millions.,u3713,SALLY,He's directing now.,,,,,,2
L361661,L361662,u6443,m428,PHIL,There's no asshole like you.,u6428,EARL,...cocksucker....,,,,,,0
L405941,L405942,u2244,m144,NAPOLEON,Oh -- where do you come from?,u2231,CORSICAN,Bastia -- and you?,,,,,,0
L234647,L234648,u5496,m366,DOC,Where are you going?,u5495,CAROL,El Paso.,,,,,,0
L421262,L421263,u2327,m150,HALDEMAN,'Cause he hates you.  It's worse when you get it from someone you trust.,u2325,EHRLICHMAN,"He's wrong, you know -- about Kennedy, LBJ, Truman.",,,,,,2
L387402,L387403,u6612,m441,ANNIE,What's it about?,u6615,PAUL,"It's crazy, but I don't really know, I mean I haven't written anything but ""Misery"" for so long that--you read it you can tell me what you think it's about. Maybe you can come up with a title.",,,,,,2
L538727,L538728,u3020,m197,SPOCK,"Under impulse power she expends fuel like any other ship. We call it ""Plasma"" - I do not know the Klingon name for it, but by any name it is merely ionized gas.",u3022,UHURA,"Well, what about all that atmospheric equipment we're carrying to catalogue gaseous anomalies?",,,,,,2
L237307,L237308,u1094,m72,ENID,"Of course you should. C'mon, I'm already a million hours late.",u1108,SEYMOUR,...I better not...,,,,,,0
L348455,L348456,u1827,m120,RAY,"You can starve to death for all I care. Now shut up, the game's about to start.",u1811,CLAUDE,"Hey, man, is Babe Ruth in the lineup today?",,,,,,0
L521311,L521312,u7712,m522,JERRY,That's from carrying around the bull fiddle.,u7722,SUGAR,But there's one thing I envy you for.,,,,,,2
L97406,L97407,u574,m36,JEFFREY,You called me Jeffrey.,u571,DOROTHY,I did. Are you?,,,,,,0
L477872,L477873,u7349,m497,CARTER,Like that.,u7354,LEE,"I am sorry, but I have too much respect for women.",,,,,,1
L463650,L463651,u2595,m169,ASHLEY,Radio said negative five.,u2603,RUDY,Negative five?,,,,,,2
L469611,L469612,u2547,m165,HEARST,There's nothing to explain,u2551,MARION,A million dollars a year on art and st-st-statues and there's nothing to explain?!,,,,,,2
L52727,L52728,u3791,m250,BAIN,"If you think you can take me, quit fucking bullshitting and try it.",u3798,RATH,"All right, Bain.  Pay attention, because this is where everything changes.",,,,,,0
L242280,L242281,u1010,m66,DEHAVEN,Should probably ask him that.,u1017,JORDAN,"If I have to ask again, Senator, I'll be asking in front of cameras.",,,,,,2
L284465,L284466,u1356,m90,BRUCE,I waited and waited and then I had an idea and wired Albany to send me a hundred dollars so I could get out on bail...  I don't know what they'll think -- they sent it to the police station!,u1364,HILDY,We'll explain the whole thing to them.,,,,,,0
L103273,L103274,u601,m38,BOB,What are you doing?,u603,DIGNAN,I'm putting a piece of tape on my nose.,,,,,,0
L619136,L619137,u3321,m220,MAVERICK,It was bad.,u3326,WOLFMAN,Bad?,,,,,,1
L103546,L103547,u601,m38,BOB,You don't even know his name.,u603,DIGNAN,"Yes, I do.",,,,,,2
L129538,L129539,u4451,m295,BRYNNER,nan,u4464,SCENE,EXT. MOUNTAINTOP - DAY.,,,,,,2
L415088,L415089,u6873,m459,SHOCK,<i>                      Jack said we should work together.</i>,u6868,BARREL,<i>                      Three of a kind...</i>,,,,,,0
L464424,L464425,u2603,m169,RUDY,"You said Merry Christmas, Rudy.",u2595,ASHLEY,"I... you told me your name was Rudy. You told me a million times, back in the truck, telling me you weren't Nick --",,,,,,0
L303489,L303490,u1475,m100,JOE,You were the one who was always suspicious of her!,u1469,AL,I was wrong. She tried to help us get away.,,,,,,0
L568787,L568788,u3117,m204,DICKIE,Shoes too?,u3125,RIPLEY,You said I could pick out a jacket and I just... Sorry.,,,,,,2
L188117,L188118,u840,m54,ERIK,But --,u851,LOKI,It was my master Keitel's idea.,,,,,,1
L470634,L470635,u7264,m491,ADRIAN,Is everything all right?,u7283,ROCKY,I gotta go out for a while.,,,,,,0
L444957,L444958,u2487,m161,CONROY,"What do I care about your mother- in-law! You're still working for this paper, aren't you! Or are you?",u2495,STEW,"Yes, sir.",,,,,,0
L434338,L434339,u6980,m467,FOLEY,You know how I felt about her.,u6975,BUDDY,Did you give her a jump?  If you did I might begin to understand where your head's at.,,,,,,0
L94717,L94718,u4115,m275,JEFFREY,Maybe. But I think the Yellow Man is on drugs. I think Frank supplies him.,u4121,SANDY,Oh yeah?,,,,,,2
L141494,L141495,u713,m45,JAKE,"Hey, we fucked once, honey. That hardly makes you a good judge of character. And don't think I didn't know you were working some angle with that either.",u715,LILY,"Everyone's working an angle, right?",,,,,,0
L306502,L306503,u1520,m102,MILES,"Not this one. Not unless her HMO covers plastic surgery, which, incidentally, she does not need.",u1517,KENNETH,Everyone needs plastic surgery. You need it.,,,,,,2
L175853,L175854,u4954,m329,TOR,What is happening?,u4941,ED,We're escaping!,,,,,,1
L48451,L48452,u3753,m247,KURTZ,"You came up my river -- in that small boat. So simple. I always thought the final justice would come from the sky, like we did.  You are the final justice, aren't you?",u3763,WILLARD,"What do you mean, Colonel?",,,,,,0
L610025,L610026,u8409,m570,JAEGER,No.,u8408,EPPS,"We need something:  A flare, a signal mirror.",,,,,,1
L315687,L315688,u1620,m106,PAUL,"Still married, Jake?",u1612,JACOB,Nope.,,,,,,2
L173062,L173063,u4907,m327,JESSICA,HARRY? Are you okay?,u4906,HARRY,Are you kidding? I couldn't be more okay.,,,,,,0
L322487,L322488,u6103,m404,SEAN,Take it up!,u6096,KELLY,SEAN!,,,,,,0
L428081,L428082,u6921,m463,MCMURPHY,"Yes, sir, I sure am gonna enjoy my stay here.",u6922,MISS PILBOW,I'm sure you will.,,,,,,0
L29853,L29854,u3635,m239,WOODWARD,--That cash fund that financed the sabotaging of the Democrats--five guys had control--,u3611,BERNSTEIN,"--Mitchell, Stans, Magruder, Kalmbach--",,,,,,2
L659190,L659191,u8945,m609,RACHEL,But... You may not be well enough.,u8938,BOOK,I'll drink some more of Stoltzfus' tea.,,,,,,0
L174924,L174925,u4943,m329,GEORGIE,"Yeah, well a couple of things have changed.  It ain't gonna be the Christine Jorgensen story no more. Goddamn ""Variety"" printed the story before I had the rights, and now that bitch is asking for the sky.",u4941,ED,So you're not gonna make the movie?,,,,,,2
L522360,L522361,u2852,m188,ELLIE,What?,u2856,MIKE,"Goddamn Venza assaulted a taxi driver in the Bronx, thirteen months ago.  It's coming to court and the judge let him walk because of the pending case law.",,,,,,1
L659767,L659768,u8950,m610,DOROTHY,"Oh, goodness!  How did you ever get like this?",u8960,TIN MAN,"Oh -- well, about a year ago -- I was chopping that tree -- minding my own business -- when suddenly it started to rain....",,,,,,0
L249804,L249805,u5611,m373,LAMBEAU,"This kid's special, Sean. I've never seen anything like him.",u5615,SEAN,"Not much free time, Gerry. LAMBEAU Have you ever heard of a man named Ramanujan?",,,,,,2
L63439,L63440,u447,m27,MANTAN,Y'know what?,u452,SLOAN,What?,,,,,,1
L361955,L361956,u6440,m428,MARY,You want her right now?,u6435,JIMMY,Yes. Now. Find her. She's somewhere in the building --,,,,,,0
L274591,L274592,u1307,m87,KIRSTY,Great.,u1308,LARRY,"Well come over, will you? See the place?",,,,,,1
L204693,L204694,u5220,m345,VICTOR,"He couldn't generate enough power for the machine to reach critical mass. Yet another mistake for ""Mr. Fantastic.""",u5211,BEN,And you can?  Power it up?,,,,,,2
L261960,L261961,u5749,m380,LEE,Want some coffee or tea?,u5744,FREDERICK,"No, thank you.",,,,,,0
L83374,L83375,u4040,m268,ELLA,Her who?,u4046,STAMP PAID,Sethe. He took up with her and stayed in there and you don't want nothing to-,,,,,,2
L560817,L560818,u8034,m544,LUTHOR,Maybe I should get help.,u8038,SUPERMAN,"It wouldn't hurt. You can't go on living in fantasies. Did you really think you could get hold of a nuclear bomb? And drop it?  Why, our Strategic Defense boys would have  --",,,,,,0
L258810,L258811,u5682,m376,ROBERT,How are you feeling about work?,u5674,ANNIE,Let's not talk about that now.,,,,,,0
L556034,L556035,u7970,m540,ETHAN,I don't want your help.,u7978,SELENA,Come back to my house. My car's outside.,,,,,,0
L194957,L194958,u869,m55,STAN,Hey.,u862,MARY,Do you swear you didn't know?,,,,,,1
L535899,L535900,u2958,m194,KIRK,You're upset about losing the whales.,u2957,GILLIAN,... You're very perceptive.,,,,,,0
L475835,L475836,u7328,m495,EARL,We're out of here.,u7330,JESSE,Right behind you.,,,,,,0
L396471,L396472,u6701,m446,PONSONBY,You will await your orders like everyone else.  Unless you prefer a repeat of yesterday's little excitement.,u6696,BROWN,No.,,,,,,0
L623647,L623648,u8590,m582,SWANNEY,Yeah.,u8587,RENTON,You'll have to send us a postcard.,,,,,,1
L279567,L279568,u1313,m88,BARRY,"Oh no, Rob, that's not obvious enough. Not at all.  Dick, did you hear that?",u1323,ROB,"Shut up. ""Let's Get It On,"" Marvin Gaye, from Let's Get It On. ""Airbag,"" Radiohead, from OK Computer.",,,,,,2
L237687,L237688,u1116,m73,PATTERSON,Nonsense.,u1118,SAMUEL,"You don't know what Tsavo means, do you?  It means ""slaughter""...",,,,,,1
L496701,L496702,u2670,m174,FRANCES,She was just asking about you - Whether it was nice to work for you or not.,u2682,MRS. REDI,And that was all?,,,,,,0
L619832,L619833,u8525,m578,HATTIE,"You know the saying, ""your heart is in your left hand.""",u8524,HARRY,"Now I was trying to be nice, to make conversation, since we go back some.",,,,,,2
L471325,L471326,u7294,m492,ROGER RABBIT,"Gee, Eddie, you're not gonna go, are ya?  Maroon'll be layin' for ya at nine o'clock.",u7295,VALIANT,That's why I'll be there at 8:45.,,,,,,0
L554662,L554663,u7943,m538,CLEO,"Oh for Chrissakes...  ""White trash Betty.""  I didn't realize the rules went into effect before we entered Safeway.",u7950,KANSAS,"Well, use your head, ""Stalker Betty.""",,,,,,2
L584473,L584474,u8217,m558,KURTZ,What's the good of another post mortem? Suppose you dig up something - well - discreditable to Harry?,u8218,MARTINS,Will you give me...,,,,,,2
L151287,L151288,u4734,m314,MARK,"What, you got a date or somethin'?",u4729,FRIDA,Since when do you care?,,,,,,0
L393513,L393514,u2147,m139,SAUNDERS,I also answer to whistles.,u2138,JEFFERSON,"You--you've *got* a first name, haven't you?",,,,,,0
L366818,L366819,u1989,m129,JORGE,"[I don't know, I swear.]",u1983,CREASY,[I believe you.],,,,,,0
L396023,L396024,u2162,m140,CEDAR,"Okay, then. Go to it.  And, Charlie",u2180,VOICE,Yeah?,,,,,,0
L636117,L636118,u8725,m592,KEATON,Goddamnit.,u8722,EDIE,They just said they wanted time.,,,,,,1
L338380,L338381,u1712,m113,COLWYN,Where is the Fortress?,u1715,LYSSA,I don't know. It's a maze of tunnels. I can't see out.,,,,,,2
L157771,L157772,u4779,m318,GLORIA,No!  Anybody else would have jumped my bones by now but you're after my soul. Make me up some more poetry.,u4776,CHARLIE,But...,,,,,,0
L119228,L119229,u664,m42,ILSA,And the other alternative?,u669,STRASSER,"My dear Mademoiselle, perhaps you have already observed that in Casablanca, human life is cheap. Good night, Mademoiselle.",,,,,,1
L52482,L52483,u3798,m250,RATH,No.,u3794,ELECTRA,What happens if you do?,,,,,,1
L446145,L446146,u7086,m474,RHAH,Squad? I didn't know we was still referring to this platoon in terms of squads sir.,u7087,WOLFE,These two holes are yours...,,,,,,2
L461081,L461082,u2574,m167,JEFF,Didn't I tell you! Didn't I tell you it was the next place to watch?,u2573,GUNNISON,You did.,,,,,,0
L233410,L233411,u1079,m70,LEO,I'm up twelve grand today.,u1071,CHILI,From when? You left Vegas with four- fifty?,,,,,,0
L115474,L115475,u4310,m287,MERRICK,Interesting.,u4300,BUFFY,I kind of had to improvise.  Sorry about your guitar.,,,,,,1
L145804,L145805,u4646,m308,LETTY,"It's just I've got those parent conferences, and I'm supposed to set up the math program by next week. And shopping for Ruth's dress and that, that engagement dinner.",u4651,PAUL,You can get out of the dinner.,,,,,,0
L236087,L236088,u1089,m71,MURPHY,You've been out for about a day.,u1088,GREER,Say what?,,,,,,0
L189916,L189917,u5074,m336,ED,Because they can.  You heard that kid -- they have 28 billion dollars at their disposal.  They can afford to waste all the time in the world.,u5076,ERIN,And you can't?,,,,,,2
L536219,L536220,u2957,m194,GILLIAN,I belong here.  Suppose by some miracle you do get them through.  Who in the 23rd Century knows anything about Humpback whales?,u2958,KIRK,... You have a point...,,,,,,2
L143405,L143406,u4605,m304,JOSS,Does that mean you think it doesn't exist?,u4602,ELLIE,I'm not sure...  Maybe it simply exists in the search for it.  Maybe its something we have to make for ourselves.,,,,,,2
L490876,L490877,u7533,m509,ETHAN,What's that got to do with us?,u7542,MARTIN,What's goin' on?,,,,,,2
L514248,L514249,u7682,m519,PAUL,That's it. Just the two rooms.,u7683,RASHID,This is the first house I've been in without a TV.,,,,,,2
L507460,L507461,u2784,m181,VIKTOR,"You understand you'll have to come back to my place to keep them off the, er...  ... scent.",u2769,FAITH,Of course.,,,,,,0
L80932,L80933,u3993,m266,CHANCE,I agree.,u4012,RAND,"... You will join us for dinner, won't you, Mr. Gardiner?",,,,,,1
L110808,L110809,u4249,m283,SAM,Uh ...,u4245,MRS BUTTLE,He hadn't done anything ... He was good ... What have you done with his body?,,,,,,1
L664302,L664303,u9006,m614,LOGAN,Who?,u9010,XAVIER,"A very powerful mutant who for some reason has taken an interest in you. I'm not sure why, but until we find out, I must ask you to stay.",,,,,,1
L152278,L152279,u739,m47,BOMB #20,I am always receptive to suggestions.,u740,DOOLITTLE,"Fine. Think about this one, then: how do you know you exist?",,,,,,0
L245816,L245817,u5538,m369,FREDO,"It wasn't the way I wanted it!  I can handle things.  I'm not dumb Christ, not like everyone says. I'm smart; and I want respect.",u5545,MICHAEL,There's nothing more you can tell me about this investigation?,,,,,,0
L525649,L525650,u7779,m526,DAWN,"We could send Mac.  If he can retrieve one suit, we could go back for the other.",u7786,TAYLOR,You're right.,,,,,,2
L451266,L451267,u7142,m479,VIVIAN,"Come on, Barney, you and me live in the real world.  You don't know how to treat a girl like anything but a lady, Mr. Thomas.",u7139,MR. THOMAS,"Certain ladies make that very easy... Vivian.  John, call a limousine for our guest, please.  Have it take her anywhere she wishes to go.  Bill the hotel.  See you again sometime soon.",,,,,,0
L428583,L428584,u6921,m463,MCMURPHY,"Just fine, Doc... In fact, I think I might've put on a couple of pounds since I got here.",u6930,SPIVEY,"Good, good, and how are you getting along on the ward?",,,,,,0
L126363,L126364,u4421,m293,REGGIE,Is there a Mrs. Dyle?,u4415,DYLE,"Yes, but we're divorced.",,,,,,2
L65322,L65323,u3872,m256,LOU,"Mr. Fink hasn't given a preference, Mr.  Lipnik.",u3871,LIPNIK,"How's about it, Bart?",,,,,,2
L639273,L639274,u8761,m594,JUDY,What are you going to do?,u8767,SCOTTIE,Look at the scene of the crime. Go on in.,,,,,,0
L511814,L511815,u7645,m517,DOCTOR LANCASTER,It has been a terrible jolt to her nerves.,u7649,ICHABOD,You will stay at her side?,,,,,,2
L328611,L328612,u1560,m104,DYMOND,"Mr. Goldberg, you claim you met David Ferrie and Clay Shaw while on a vacation here from your accounting business in New York, you had drinks and, under the influence discussed killing Kennedy, is that not so?",u1565,GOLDBERG,I did.,,,,,,2
L423717,L423718,u2368,m152,BALLARD,"GODAMMIT, BETTY!... WHO'S CHLOE?",u2369,BETTY,I'M THROUGH TALKING NOW! GOODBYE!,,,,,,2
L151195,L151196,u4732,m314,JENNIFER,"How about I give you a make-over? You'll feel better about yourself. You're actually pretty, you're just not bringing it out.",u4729,FRIDA,You're just saying that.,,,,,,0
L16889,L16890,u162,m11,GIBBS,We checked the manifest. Everyone was accounted for.,u166,KORSHUNOV,A secret service agent. It must be.,,,,,,2
L261974,L261975,u5744,m380,FREDERICK,Hmm?,u5749,LEE,...you're such a puzzle.  So sweet with me and so...contemptuous of everyone else.,,,,,,1
L237480,L237481,u1094,m72,ENID,"What do you mean ""on his way up""!?",u1092,DAD,I just buzzed him in.,,,,,,2
L67964,L67965,u3899,m258,GINA,"Pipe down, Lech. Let him order.",u3903,LESHKO,"You nuts? Let him order? You on his side? You're not such a good waitress. You get out, too.",,,,,,2
L119311,L119312,u664,m42,ILSA,"I can't fight it anymore. I ran away from you once. I can't do it again. Oh, I don't know what's right any longer. You'll have to think for both of us, for all of us.",u667,RICK,"All right, I will. Here's looking at you, kid.",,,,,,0
L3628,L3629,u58,m3,MILLER,Well.. Did you have a pleaant flight?,u55,FLOYD,"Yes, very pleasant.",,,,,,0
L523764,L523765,u7736,m524,CAMILLE'S VOICE OVER,:...THE CHANCE TO SOAR IN THE DIM BLUE AIR ABOVE SMOKE IS TO THEIR...,u7740,DAVID'S IMAGES,:His visit with his father at the County Jail house --,,,,,,2
L461694,L461695,u2575,m167,LISA,Do you like it?,u2574,JEFF,"Well, -- if there was one less thread this way --  -- and two less that way --  -- I might give up bachelorhood.",,,,,,1
L644690,L644691,u8810,m598,BREAN,"No, I don't think you can <u>do</u> that.",u8819,MOSS,Watch me.,,,,,,0
L457611,L457612,u7209,m485,MAN,Where'd you get the stag hound?,u7206,FLORENCE,He's not a stag hound. His name is Kelly and he's a police dog.,,,,,,2
L269610,L269611,u1255,m83,JAKE,"I don't suppose you've ever seen this girl before either? Her name's Kristen, but I suppose you've never seen her?",u1258,MANAGER,"Why don't you just go outdoors, mister? Cool off.",,,,,,2
L155500,L155501,u4751,m316,BOB,You're lint!  You're a flea!  You're a blip!,u4752,DAVE,"Well, maybe I am.  But you're fired.",,,,,,0
L14623,L14624,u3555,m234,MARTHA,"But she is not an enigma Mother. Everything that Agnes has done is explainable from modern psychiatry. One, two, three, right down the line.",u3557,MOTHER MIRIAM,That's what you believe she is?  The sum of her psychological parts?,,,,,,2
L14046,L14047,u3555,m234,MARTHA,How do you survive?,u3558,SISTER ANNE,"Oh, we own the land around here. But we rent it out. We keep a few acres for ourselves,  some wheat, corn, some vegetables.",,,,,,0
L245871,L245872,u5545,m369,MICHAEL,"If that's what it takes; then yes, I will.",u5541,KAY,"At this moment, I feel no love for you at all.  I never thought that could happen, but it has.",,,,,,0
L15218,L15219,u3574,m235,RINGO,Well ...,u3571,NORM,"When I tell you to stay put, stay put.",,,,,,1
L118968,L118969,u663,m42,FERRARI,No hurry. I'll have it sent over. Have a drink with me.,u667,RICK,"I never drink in the morning. And every time you send my shipment over, it's always just a little bit short.",,,,,,0
L533087,L533088,u2888,m190,HARRY,What do they always say?,u2895,STOSH,That's what I wanna hear.,,,,,,2
L465795,L465796,u2609,m170,EDDIE,I'll call somebody.,u2618,MR. WHITE,Who?,,,,,,0
L549023,L549024,u7885,m533,RACHEL,Luke was in the shower this morning and Annabelle sort of walked in without knocking.,u7883,JACKIE,I'm sure that didn't upset her. Everyone in our family takes showers.,,,,,,2
